published_at,source_id,source_name,title,manual_label,manual_reason,rule_label,rule_score,rule_agrees,summary_excerpt,attachment_count,link_count,url
2026-09-22,student_notice,学工通知,电子信息学院关于评选2025-2026学年度奖学金和先进班集体先进个人的通知,keep,本科生奖学金与评奖评优申请,keep,6,True,为引导学生勤奋学习、刻苦钻研，培养学生团结奋进精神和集体主义观念，建设优良的校风、学风，促进学生德、智、体、美、劳全面发展，根据《武汉大学本科学生奖学金管理办法》《武汉大学本科学生先进个人评选表彰办法》《武汉大学本科学生先进班集体评选表彰办法》《关于评选2025-2026学年度奖学金和先进班集体先进个人的通知》等文件以及相关会议精神，学校将开展2025-2026学年度奖学金和先进班集体、先进班集体标兵以及优秀学生、三好学生、...,1,0,https://eis.whu.edu.cn/info/1411/64941.htm
2026-09-19,student_notice,学工通知,电子信息学院关于2026年学生中秋节、国庆节放假安排的通知,keep,重要本科生教学与假期安排,keep,3,True,全院学生：根据学校《关于2026年部分节假日安排的通知》及相关文件要求，2026年中秋节9月25日（周五）至27日（周日）放假，共3天；国庆节10月1日（周四）至7日（周三）放假调休，共7天，现将2026年国庆节、中秋节放假安排及相关工作通知如下：一、时间安排9月20日（周日），教学安排按第5周周二课表执行；中秋节：9月25日，所有课程停上；9月26日-27日，按原课表执行；国庆节：10月1日-7日，所有课程停上；10月10日（周六），教学安排按第5周周三课表执行。...,0,0,https://eis.whu.edu.cn/info/1411/64921.htm
2026-09-16,student_notice,学工通知,武汉大学电子信息学院学生工作办公室本科生学生助理招募通知,keep,面向本科生的岗位招募,keep,6,True,新学期来临，为更好地引领学生成长、服务全院师生，电子信息学院学生工作办公室拟面向全院本科生招聘办公室学生助理，协助开展办公室日常事务管理工作。一、招聘岗位及人数学生工作办公室本科生学生助理，共8名。二、岗位职责1.办公室日常值班，做好来访接待、电话接听、信息登记等工作；2.协助学院老师整理材料、文件归档、数据录入、通知传达等日常行政事务；3.完成老师交办的其他办公室辅助性工作。三、招募对象及要求1.我校全日制本科生，...,0,1,https://eis.whu.edu.cn/info/1411/64861.htm
2026-09-15,academic_lecture,学术讲座,学术讲座公告--第二届全国电磁前沿交叉技术大会系列报告,keep,讲座预告包含未来时间、地点和报告主题，属于可参加事项,keep,8,True,专题：电磁超材料地点：武汉东湖宾馆会议中心一楼 潜江厅时间：9月20日上午10:30-12:00 专题会议主持：赵晨 报名1：多功能电磁超表面与天线设计应用电磁超表面作为一种二维形式的超材料，通常由亚波长电磁结构按照特定空间序构方式形成，具备灵活调控电磁波相位、频率、极化等响应特性的能力，为电磁波调控技术的发展提供了新路径。本报告将着重探讨多功能电磁超表面及其在天线设计中的应用，包括：无源超表面在透反射阵、折叠透反射阵天线方面的设计思路；...,0,0,https://eis.whu.edu.cn/info/2471/64811.htm
2026-09-15,student_notice,学工通知,关于开展电子信息学院2025-2026学年本科生素质综合测评工作的通知,keep,本科生综测，含材料提交和截止时间,keep,6,True,学生素质综合测评是对学生在校期间各方面表现的测定和评价。为进一步做好2025-2026学年本科生素质综合测评工作，现将有关事项通知如下：一、测评对象在本院注册并参加全日制学习活动的普通本科生。二、时间安排1．9月16日12:00-9月22日12:00，学生自评并提交相应佐证材料；2．9月22日前，各班级成立学生素质综合测评小组（以下简称“测评小组”），各年级成立学生素质综合测评复核小组（以下简称“复核小组”）；3．9月22日14:00-9月23日12:...,2,0,https://eis.whu.edu.cn/info/1411/64801.htm
2026-09-14,undergraduate_education,本科生教育,喜报！我院本科生首次获批国家自然科学基金青年学生基础研究项目（本科生）,filter,喜报和成果宣传，不是新的项目申报通知,filter,-7,True,近日，国家自然科学基金青年学生基础研究项目（本科生）评审结果公布，我院2023级通信工程专业本科生邓咏怡申报的“动态时变强噪声环境下阵列高保真声信号拾取理论与基础方法研究”项目获批立项，指导教师为陈景东教授和黄公平教授。这是电子信息学院本科生首次获批该项目。据悉，国家自然科学基金青年学生基础研究项目（本科生）于2023年启动试点，武汉大学为首批试点高校之一。项目将基础研究人才培养端口进一步前移，面向具有科研潜质的本科生，...,0,0,https://eis.whu.edu.cn/info/1371/64771.htm
2026-09-14,student_activity,学生活动, 一年级计划 | 慎思笃行担使命 创芯逐梦启新程——电子信息学院2026级本科生新生见面会暨院长第一课圆满举行,filter,活动已经举行，正文为新闻回顾而非新的报名或申请机会,filter,-10,True,晚风拂珞珈，金秋启新章。为助力2026级本科新生快速适应大学生活，深度感知电子信息学院的办学底蕴、学科特色与育人理念，明晰四年学业方向与成长目标，2026年9月9日晚，武汉大学电子信息学院于武汉大学人文馆报告厅隆重召开2026级本科生新生见面会暨院长第一课。院党委书记李德识、院长郑国兴、院党委副书记李海波、王蔡华，副院长江昊、胡钰琳、李仲阳、马跃，信息与通信工程系、电子科学与技术系、教学与实验中心、党政办公室、学科建设与发展办公室、...,0,0,https://eis.whu.edu.cn/info/1421/64781.htm
2026-09-14,academic_lecture,学术讲座,学术讲座公告---二维范德华半导体光物理的扭转和腔调控,keep,讲座预告包含未来时间、地点和报告主题，属于可参加事项,keep,5,True,报告时间：2026年9月15日（周二）早上9：00报告地点：电子信息学院东科技楼113报告题目：二维范德华半导体光物理的扭转和腔调控报告人：李秋洋 研究员邀请人：曾永全 教授报告主题简介：二维范德华半导体具有独特性质：原子级厚度、明确的激子态与强跃迁振子强度，为新兴多体物理、量子态以及光电磁应用提供了有趣平台。扭转与微纳腔为二维范德华材料的物态与性质提供了有效且独特的调控手段。在本报告中，我将汇报如何利用扭转与微纳腔来操控二维范德华磁性半导体中的激子和磁序的性质。...,0,0,https://eis.whu.edu.cn/info/2471/64751.htm
2026-09-11,student_notice,学工通知,共青团武汉大学电子信息学院委员会组织部增补工作人员拟聘用名单公示,review,结果公示没有新报名，但异议期可能与当事人相关,review,-4,True,根据《关于增补共青团武汉大学电子信息学院委员会组织部工作人员的通知》，经学生自荐、院团委资格审查、综合考核，现对拟聘用人选进行公示：负责人：朱征宇 刘孟垚 曾妙妍如对以上公示有异议，请于2026年9月14日前向院团委反映，反映问题要实事求是。联系人：周红智 郑逸铭电子邮箱：eisxgb@whu.edu.cn共青团武汉大学电子信息学院委员会2026年9月11日,0,0,https://eis.whu.edu.cn/info/1411/64711.htm
2026-09-11,youth_league,共青团工作,共青团武汉大学电子信息学院委员会组织部增补工作人员拟聘用名单公示,review,结果公示没有新报名，但异议期可能与当事人相关,review,-4,True,根据《关于增补共青团武汉大学电子信息学院委员会组织部工作人员的通知》，经学生自荐、院团委资格审查、综合考核，现对拟聘用人选进行公示：负责人：朱征宇 刘孟垚 曾妙妍如对以上公示有异议，请于2026年9月14日前向院团委反映，反映问题要实事求是。联系人：周红智 郑逸铭电子邮箱：eisxgb@whu.edu.cn共青团武汉大学电子信息学院委员会2026年9月11日,0,0,https://eis.whu.edu.cn/info/1441/64721.htm
